org,substrate,activity
Clavibacter michiganensis,7Ph.heptanoate,1.616824203209161
Streptomyces ambofaciens,7Ph.heptanoate,1.6533363640969574
Micromonospora avicenniae,7Ph.heptanoate,1.3909987931034262
Kineosphaera limosa,7Ph.heptanoate,1.5281710601425185
Sanguibacter keddieii,7Ph.heptanoate,1.463634243731176
Bacillus sp.,7Ph.heptanoate,0
Frankiales bacterium,7Ph.heptanoate,0
Streptococcus pneumoniae,7Ph.heptanoate,0
Desulfobulbus elongatus,7Ph.heptanoate,0
Citricoccus muralis,7Ph.heptanoate,0
Streptomyces avermitilis,7Ph.heptanoate,0
Desulfobacter curvatus,7Ph.heptanoate,0
Agrococcus casei,7Ph.heptanoate,0
Cephaloticoccus capnophilus,7Ph.heptanoate,0
Chlamydiales bacterium,7Ph.heptanoate,0
Microlunatus phosphovorus,7Ph.heptanoate,0
Clostridium combesii,7Ph.heptanoate,0
Brevibacterium mcbrellneri,7Ph.heptanoate,0
Shewanella putrefaciens,7Ph.heptanoate,0
Anaerocolumna xylanovorans,7Ph.heptanoate,0
Pelobacter propionicus,7Ph.heptanoate,0
Bacteroides luti,7Ph.heptanoate,0
Nonomuraea candida,7Ph.heptanoate,0
Legionella brunensis,7Ph.heptanoate,0
Allokutzneria albata,7Ph.heptanoate,0
Kytococcus sedentarius,azido,2.881498112755941
Granulosicoccus antarcticus,azido,2.313627906658484
Mobilicoccus massiliensis,azido,2.3514748517057487
Kocuria varians,azido,2.1450353095699337
Actinoplanes atraurantiacus,azido,1.807777977132782
Thermomonas haemolytica,azido,2.2576150852782684
Chromatocurvus halotolerans,azido,1.9725887181104862
Xanthomonas translucens,azido,2.319146515334948
Dermabacter hominis,azido,2.065591498085693
Luteimonas tolerans,azido,1.972597398709564
Halobacteriovorax marinus,azido,1.5607794792153735
Xanthomonas campestris,azido,2.101380452881707
Arthrobacter globiformis,azido,1.9717128864420002
Brachybacterium paraconglomeratum,azido,1.9423299042749411
Mycolicibacterium obuense,azido,1.7593934427708726
Okibacterium fritillariae,azido,1.9170051620649062
Arenimonas oryziterrae,azido,1.9078708317126964
Subtercola sp.,azido,1.967425070338496
Plantibacter sp.,azido,1.7774975667508117
Kocuria flava,azido,1.8890749148624622
Cellulomonas cellasea,azido,1.54578013513142
Pseudoxanthomonas sp.,azido,1.9837820666647181
Micromonospora peucetia,azido,1.9539237948984354
Intrasporangiaceae bacterium,azido,1.9792660886511828
Brachybacterium alimentarium,azido,1.8249051253723974
Humibacillus sp.,azido,1.7413420302106548
Agreia bicolorata,azido,1.7518492263103569
Nesterenkonia alba,azido,1.5900585319414444
Silanimonas lenta,azido,1.8702007378259033
Sandaracinus amylolyticus,azido,1.7092461944434936
Leifsonia sp.,azido,1.8125258085509435
Bacteriovorax sp.,azido,1.6908823322278748
Auraticoccus monumenti,azido,1.75221640988556
Paenibacillus polysaccharolyticus,azido,1.5744329529177774
Sediminihabitans luteus,azido,1.9040259387580354
Psychromonas aquimarina,azido,1.7685425317200834
Isoptericola variabilis,azido,1.3889166532715684
Dermatophilus congolensis,azido,1.7230658780946198
Chloroflexi bacterium,azido,1.3567962470866028
Geodermatophilus obscurus,azido,1.6680897294142223
Nakamurella multipartita,azido,1.9290159587919649
Enhygromyxa salina,azido,1.6810724036696842
Brevibacterium antiquum,azido,1.7449649714936644
Rothia mucilaginosa,azido,1.6249382806516919
Actinomycetospora chiangmaiensis,azido,1.7228137276395186
Saccharothrix espanaensis,azido,1.8168478144221156
Wenzhouxiangella sediminis,azido,1.896116981063196
Virgibacillus salinus,azido,1.4584173342481055
Clavibacter michiganensis,azido,1.8868580629989802
Streptomyces ambofaciens,azido,1.6378427589249909
Micromonospora avicenniae,azido,1.942807268762605
Kineosphaera limosa,azido,1.6566740167330045
Sanguibacter keddieii,azido,1.7014054461763193
Bacillus sp.,azido,1.8314253052366802
Frankiales bacterium,azido,1.8734807763576797
Streptococcus pneumoniae,azido,1.7893880302137628
Desulfobulbus elongatus,azido,1.5803668873799335
Citricoccus muralis,azido,1.7564690530036213
Streptomyces avermitilis,azido,1.7926827933691023
Desulfobacter curvatus,azido,1.6386163698235616
Agrococcus casei,azido,1.731048811924442
Cephaloticoccus capnophilus,azido,1.6235223848945597
Chlamydiales bacterium,azido,1.8238467957105882
Microlunatus phosphovorus,azido,1.6814568067228537
Clostridium combesii,azido,1.7274257446895747
Brevibacterium mcbrellneri,azido,1.7629840375688879
Shewanella putrefaciens,azido,0
Anaerocolumna xylanovorans,azido,1.5876011318603531
Pelobacter propionicus,azido,1.4234323388618533
Bacteroides luti,azido,1.5216762073139645
Nonomuraea candida,azido,1.8679826243654343
Legionella brunensis,azido,1.75182545838485
Allokutzneria albata,azido,0
Kytococcus sedentarius,biotin,1.6488800254770726
Granulosicoccus antarcticus,biotin,1.6532746190375036
Mobilicoccus massiliensis,biotin,0
Kocuria varians,biotin,0.9280673991936703
Actinoplanes atraurantiacus,biotin,0.9946812869040487
Thermomonas haemolytica,biotin,0
Chromatocurvus halotolerans,biotin,0
Xanthomonas translucens,biotin,0
Dermabacter hominis,biotin,0.8000452349372857
Luteimonas tolerans,biotin,0
Halobacteriovorax marinus,biotin,1.0789456624482663
Xanthomonas campestris,biotin,0
Arthrobacter globiformis,biotin,0
Brachybacterium paraconglomeratum,biotin,0
Mycolicibacterium obuense,biotin,0
Okibacterium fritillariae,biotin,0
Arenimonas oryziterrae,biotin,0
Subtercola sp.,biotin,1.0443726878908184
Plantibacter sp.,biotin,0
Kocuria flava,biotin,1.1467376960090334
Cellulomonas cellasea,biotin,0
Pseudoxanthomonas sp.,biotin,0
Micromonospora peucetia,biotin,0
Intrasporangiaceae bacterium,biotin,0.855468051339578
Brachybacterium alimentarium,biotin,0
Humibacillus sp.,biotin,0
Agreia bicolorata,biotin,0
Nesterenkonia alba,biotin,0
Silanimonas lenta,biotin,0
Sandaracinus amylolyticus,biotin,0
Leifsonia sp.,biotin,0
Bacteriovorax sp.,biotin,0
Auraticoccus monumenti,biotin,0
Paenibacillus polysaccharolyticus,biotin,0
Sediminihabitans luteus,biotin,0
Psychromonas aquimarina,biotin,0
Isoptericola variabilis,biotin,0.8138447541307154
Dermatophilus congolensis,biotin,0
Chloroflexi bacterium,biotin,0
Geodermatophilus obscurus,biotin,0
Nakamurella multipartita,biotin,0
Enhygromyxa salina,biotin,0
Brevibacterium antiquum,biotin,0
Rothia mucilaginosa,biotin,0
Actinomycetospora chiangmaiensis,biotin,0
Saccharothrix espanaensis,biotin,0
Wenzhouxiangella sediminis,biotin,0
Virgibacillus salinus,biotin,0
Clavibacter michiganensis,biotin,0
Streptomyces ambofaciens,biotin,0
Micromonospora avicenniae,biotin,0
Kineosphaera limosa,biotin,0
Sanguibacter keddieii,biotin,0
Bacillus sp.,biotin,0
Frankiales bacterium,biotin,0
Streptococcus pneumoniae,biotin,0
Desulfobulbus elongatus,biotin,0
Citricoccus muralis,biotin,0
Streptomyces avermitilis,biotin,0
Desulfobacter curvatus,biotin,0
Agrococcus casei,biotin,0
Cephaloticoccus capnophilus,biotin,0
Chlamydiales bacterium,biotin,0
Microlunatus phosphovorus,biotin,0
Clostridium combesii,biotin,0
Brevibacterium mcbrellneri,biotin,0
Shewanella putrefaciens,biotin,0
Anaerocolumna xylanovorans,biotin,0
Pelobacter propionicus,biotin,0
Bacteroides luti,biotin,0
Nonomuraea candida,biotin,0
Legionella brunensis,biotin,0
Allokutzneria albata,biotin,0
Kytococcus sedentarius,butoxy,2.9683620667944153
Granulosicoccus antarcticus,butoxy,2.576872405140203
Mobilicoccus massiliensis,butoxy,2.360309832876668
Kocuria varians,butoxy,2.630924626133496
Actinoplanes atraurantiacus,butoxy,2.312501388603026
Thermomonas haemolytica,butoxy,2.646311409250502
Chromatocurvus halotolerans,butoxy,2.0739995068369534
Xanthomonas translucens,butoxy,2.5786723568281764
Dermabacter hominis,butoxy,2.452056206316987
Luteimonas tolerans,butoxy,2.0788407254203487
Halobacteriovorax marinus,butoxy,2.104098911380376
Xanthomonas campestris,butoxy,1.8763059186591595
Arthrobacter globiformis,butoxy,2.4151932421414646
Brachybacterium paraconglomeratum,butoxy,1.815329602171853
Mycolicibacterium obuense,butoxy,1.7729306043536954
Okibacterium fritillariae,butoxy,2.6046359326195336
Arenimonas oryziterrae,butoxy,2.312902087915684
Subtercola sp.,butoxy,2.5844903422650534
Plantibacter sp.,butoxy,1.3334829854882944
Kocuria flava,butoxy,1.6277527245016021
Cellulomonas cellasea,butoxy,2.0376044905768147
Pseudoxanthomonas sp.,butoxy,2.4427965029448004
Micromonospora peucetia,butoxy,2.4812172888331294
Intrasporangiaceae bacterium,butoxy,2.0066680150867544
Brachybacterium alimentarium,butoxy,1.8797501798259382
Humibacillus sp.,butoxy,2.4422836449834775
Agreia bicolorata,butoxy,2.3995836411119726
Nesterenkonia alba,butoxy,2.682531601672677
Silanimonas lenta,butoxy,1.9391240118610606
Sandaracinus amylolyticus,butoxy,2.4314370847347337
Leifsonia sp.,butoxy,2.6366203731083773
Bacteriovorax sp.,butoxy,2.0448086748782934
Auraticoccus monumenti,butoxy,2.187691276904068
Paenibacillus polysaccharolyticus,butoxy,1.639129237029504
Sediminihabitans luteus,butoxy,2.501664515742554
Psychromonas aquimarina,butoxy,2.152262298384034
Isoptericola variabilis,butoxy,1.9689305572021258
Dermatophilus congolensis,butoxy,2.359579410654428
Chloroflexi bacterium,butoxy,1.6061940507374244
Geodermatophilus obscurus,butoxy,2.1426010159185864
Nakamurella multipartita,butoxy,2.0905819953358233
Enhygromyxa salina,butoxy,2.4091035725445655
Brevibacterium antiquum,butoxy,1.8669794454298139
Rothia mucilaginosa,butoxy,1.5586079709928617
Actinomycetospora chiangmaiensis,butoxy,1.9892423234528636
Saccharothrix espanaensis,butoxy,1.673001498189501
Wenzhouxiangella sediminis,butoxy,2.445733740659656
Virgibacillus salinus,butoxy,1.86994091780095
Clavibacter michiganensis,butoxy,1.9249914284738163
Streptomyces ambofaciens,butoxy,2.55710686712328
Micromonospora avicenniae,butoxy,1.6186570349009937
Kineosphaera limosa,butoxy,1.9635321262009313
Sanguibacter keddieii,butoxy,0
Bacillus sp.,butoxy,2.1369021262876626
Frankiales bacterium,butoxy,2.0966559610530346
Streptococcus pneumoniae,butoxy,1.3273475426322732
Desulfobulbus elongatus,butoxy,1.603631833972826
Citricoccus muralis,butoxy,2.3987335415365956
Streptomyces avermitilis,butoxy,2.397739650993029
Desulfobacter curvatus,butoxy,1.8556728036293724
Agrococcus casei,butoxy,1.4215897970827398
Cephaloticoccus capnophilus,butoxy,1.6146631480429852
Chlamydiales bacterium,butoxy,2.0548476317081024
Microlunatus phosphovorus,butoxy,2.279535937197765
Clostridium combesii,butoxy,1.643117009343228
Brevibacterium mcbrellneri,butoxy,1.793370477556103
Shewanella putrefaciens,butoxy,1.4621049600339064
Anaerocolumna xylanovorans,butoxy,1.468848209724024
Pelobacter propionicus,butoxy,1.5820522611920058
Bacteroides luti,butoxy,1.4458426531364836
Nonomuraea candida,butoxy,1.807562254706628
Legionella brunensis,butoxy,0
Allokutzneria albata,butoxy,2.182964028124187
Kytococcus sedentarius,ClPh.propionate,1.64777781669934
Granulosicoccus antarcticus,ClPh.propionate,1.9442532394792624
Mobilicoccus massiliensis,ClPh.propionate,1.8566590127769989
Kocuria varians,ClPh.propionate,1.6110497486209587
Actinoplanes atraurantiacus,ClPh.propionate,1.6035997889003888
Thermomonas haemolytica,ClPh.propionate,0
Chromatocurvus halotolerans,ClPh.propionate,0
Xanthomonas translucens,ClPh.propionate,0
Dermabacter hominis,ClPh.propionate,0
Luteimonas tolerans,ClPh.propionate,0
Halobacteriovorax marinus,ClPh.propionate,1.2333257634595594
Xanthomonas campestris,ClPh.propionate,1.8306694054601282
Arthrobacter globiformis,ClPh.propionate,0
Brachybacterium paraconglomeratum,ClPh.propionate,1.37980742733685
Mycolicibacterium obuense,ClPh.propionate,1.5380693275138915
Okibacterium fritillariae,ClPh.propionate,0
Arenimonas oryziterrae,ClPh.propionate,0
Subtercola sp.,ClPh.propionate,0
Plantibacter sp.,ClPh.propionate,1.5720484126292744
Kocuria flava,ClPh.propionate,0
Cellulomonas cellasea,ClPh.propionate,1.5522739672719343
Pseudoxanthomonas sp.,ClPh.propionate,0
Micromonospora peucetia,ClPh.propionate,0
Intrasporangiaceae bacterium,ClPh.propionate,0
Brachybacterium alimentarium,ClPh.propionate,0
Humibacillus sp.,ClPh.propionate,1.7418970344501827
Agreia bicolorata,ClPh.propionate,0
Nesterenkonia alba,ClPh.propionate,1.6943660510936054
Silanimonas lenta,ClPh.propionate,0
Sandaracinus amylolyticus,ClPh.propionate,0
Leifsonia sp.,ClPh.propionate,0
Bacteriovorax sp.,ClPh.propionate,0
Auraticoccus monumenti,ClPh.propionate,0
Paenibacillus polysaccharolyticus,ClPh.propionate,0
Sediminihabitans luteus,ClPh.propionate,0
Psychromonas aquimarina,ClPh.propionate,0
Isoptericola variabilis,ClPh.propionate,0
Dermatophilus congolensis,ClPh.propionate,0
Chloroflexi bacterium,ClPh.propionate,1.1647830205078338
Geodermatophilus obscurus,ClPh.propionate,0
Nakamurella multipartita,ClPh.propionate,0
Enhygromyxa salina,ClPh.propionate,0
Brevibacterium antiquum,ClPh.propionate,1.195712454701987
Rothia mucilaginosa,ClPh.propionate,0
Actinomycetospora chiangmaiensis,ClPh.propionate,0
Saccharothrix espanaensis,ClPh.propionate,0
Wenzhouxiangella sediminis,ClPh.propionate,0
Virgibacillus salinus,ClPh.propionate,0
Clavibacter michiganensis,ClPh.propionate,0
Streptomyces ambofaciens,ClPh.propionate,0
Micromonospora avicenniae,ClPh.propionate,0
Kineosphaera limosa,ClPh.propionate,0
Sanguibacter keddieii,ClPh.propionate,0
Bacillus sp.,ClPh.propionate,0
Frankiales bacterium,ClPh.propionate,0
Streptococcus pneumoniae,ClPh.propionate,0
Desulfobulbus elongatus,ClPh.propionate,0
Citricoccus muralis,ClPh.propionate,0
Streptomyces avermitilis,ClPh.propionate,0
Desulfobacter curvatus,ClPh.propionate,0
Agrococcus casei,ClPh.propionate,0
Cephaloticoccus capnophilus,ClPh.propionate,0
Chlamydiales bacterium,ClPh.propionate,0
Microlunatus phosphovorus,ClPh.propionate,0
Clostridium combesii,ClPh.propionate,0
Brevibacterium mcbrellneri,ClPh.propionate,0
Shewanella putrefaciens,ClPh.propionate,0
Anaerocolumna xylanovorans,ClPh.propionate,0
Pelobacter propionicus,ClPh.propionate,0
Bacteroides luti,ClPh.propionate,0
Nonomuraea candida,ClPh.propionate,0
Legionella brunensis,ClPh.propionate,0
Allokutzneria albata,ClPh.propionate,0
Kytococcus sedentarius,cyclopentyl,2.4101415662438423
Granulosicoccus antarcticus,cyclopentyl,2.4190291102873904
Mobilicoccus massiliensis,cyclopentyl,2.3744375491383667
Kocuria varians,cyclopentyl,1.628653095188037
Actinoplanes atraurantiacus,cyclopentyl,1.896080883043306
Thermomonas haemolytica,cyclopentyl,1.9716955713075812
Chromatocurvus halotolerans,cyclopentyl,1.679525019626971
Xanthomonas translucens,cyclopentyl,1.9966219921541308
Dermabacter hominis,cyclopentyl,1.9219710927815707
Luteimonas tolerans,cyclopentyl,1.7536178821004733
Halobacteriovorax marinus,cyclopentyl,1.6535128397852707
Xanthomonas campestris,cyclopentyl,1.653294045288231
Arthrobacter globiformis,cyclopentyl,1.8872379939849089
Brachybacterium paraconglomeratum,cyclopentyl,1.3153086909060998
Mycolicibacterium obuense,cyclopentyl,1.597844163102287
Okibacterium fritillariae,cyclopentyl,1.6199242060944377
Arenimonas oryziterrae,cyclopentyl,1.7209796635382004
Subtercola sp.,cyclopentyl,1.765230181623206
Plantibacter sp.,cyclopentyl,1.69609903687117
Kocuria flava,cyclopentyl,1.4117733552888376
Cellulomonas cellasea,cyclopentyl,1.685457807651174
Pseudoxanthomonas sp.,cyclopentyl,1.7560738805217337
Micromonospora peucetia,cyclopentyl,1.4191619091743324
Intrasporangiaceae bacterium,cyclopentyl,1.743829538739325
Brachybacterium alimentarium,cyclopentyl,1.4308771520279746
Humibacillus sp.,cyclopentyl,0
Agreia bicolorata,cyclopentyl,1.373116671787964
Nesterenkonia alba,cyclopentyl,1.2579351029815375
Silanimonas lenta,cyclopentyl,1.843060229576371
Sandaracinus amylolyticus,cyclopentyl,1.7058394846273306
Leifsonia sp.,cyclopentyl,0
Bacteriovorax sp.,cyclopentyl,1.6685418615899952
Auraticoccus monumenti,cyclopentyl,1.4998996992724973
Paenibacillus polysaccharolyticus,cyclopentyl,1.3737722480224734
Sediminihabitans luteus,cyclopentyl,1.659652716036848
Psychromonas aquimarina,cyclopentyl,1.6911980861864815
Isoptericola variabilis,cyclopentyl,0
Dermatophilus congolensis,cyclopentyl,0
Chloroflexi bacterium,cyclopentyl,0
Geodermatophilus obscurus,cyclopentyl,0
Nakamurella multipartita,cyclopentyl,1.418407128359148
Enhygromyxa salina,cyclopentyl,1.5055704667973917
Brevibacterium antiquum,cyclopentyl,0
Rothia mucilaginosa,cyclopentyl,1.5334430362427969
Actinomycetospora chiangmaiensis,cyclopentyl,1.1855030981207508
Saccharothrix espanaensis,cyclopentyl,1.2003299567255157
Wenzhouxiangella sediminis,cyclopentyl,0
Virgibacillus salinus,cyclopentyl,0
Clavibacter michiganensis,cyclopentyl,0
Streptomyces ambofaciens,cyclopentyl,0
Micromonospora avicenniae,cyclopentyl,0
Kineosphaera limosa,cyclopentyl,0
Sanguibacter keddieii,cyclopentyl,0
Bacillus sp.,cyclopentyl,1.6073400330750165
Frankiales bacterium,cyclopentyl,1.1743445518946094
Streptococcus pneumoniae,cyclopentyl,0
Desulfobulbus elongatus,cyclopentyl,1.460366512013061
Citricoccus muralis,cyclopentyl,0
Streptomyces avermitilis,cyclopentyl,0
Desulfobacter curvatus,cyclopentyl,0
Agrococcus casei,cyclopentyl,1.5610371102654164
Cephaloticoccus capnophilus,cyclopentyl,0
Chlamydiales bacterium,cyclopentyl,0
Microlunatus phosphovorus,cyclopentyl,0
Clostridium combesii,cyclopentyl,0
Brevibacterium mcbrellneri,cyclopentyl,0
Shewanella putrefaciens,cyclopentyl,1.5313165054885225
Anaerocolumna xylanovorans,cyclopentyl,0
Pelobacter propionicus,cyclopentyl,0
Bacteroides luti,cyclopentyl,0
Nonomuraea candida,cyclopentyl,1.2627409653569865
Legionella brunensis,cyclopentyl,0
Allokutzneria albata,cyclopentyl,1.45865112853373
Kytococcus sedentarius,decanoate,2.2268355216524434
Granulosicoccus antarcticus,decanoate,2.089785847183091
Mobilicoccus massiliensis,decanoate,1.66572134669683
Kocuria varians,decanoate,1.7531938366263307
Actinoplanes atraurantiacus,decanoate,1.2490052839823442
Thermomonas haemolytica,decanoate,1.7410271322025137
Chromatocurvus halotolerans,decanoate,1.6855445959566786
Xanthomonas translucens,decanoate,1.5228131864478784
Dermabacter hominis,decanoate,1.7135286216619128
Luteimonas tolerans,decanoate,1.3865954280652784
Halobacteriovorax marinus,decanoate,1.260374647011366
Xanthomonas campestris,decanoate,1.4928720326230343
Arthrobacter globiformis,decanoate,1.3929199759681425
Brachybacterium paraconglomeratum,decanoate,1.4346003435761274
Mycolicibacterium obuense,decanoate,1.3596706535297556
Okibacterium fritillariae,decanoate,1.3067261139740396
Arenimonas oryziterrae,decanoate,0
Subtercola sp.,decanoate,1.4754412002229973
Plantibacter sp.,decanoate,0
Kocuria flava,decanoate,1.2517675760602787
Cellulomonas cellasea,decanoate,1.287837975174095
Pseudoxanthomonas sp.,decanoate,0
Micromonospora peucetia,decanoate,0
Intrasporangiaceae bacterium,decanoate,0
Brachybacterium alimentarium,decanoate,1.5512487505783426
Humibacillus sp.,decanoate,0
Agreia bicolorata,decanoate,1.4802187906463369
Nesterenkonia alba,decanoate,0
Silanimonas lenta,decanoate,0
Sandaracinus amylolyticus,decanoate,0
Leifsonia sp.,decanoate,0
Bacteriovorax sp.,decanoate,0
Auraticoccus monumenti,decanoate,0
Paenibacillus polysaccharolyticus,decanoate,0
Sediminihabitans luteus,decanoate,0
Psychromonas aquimarina,decanoate,0
Isoptericola variabilis,decanoate,1.1205739312058498
Dermatophilus congolensis,decanoate,0
Chloroflexi bacterium,decanoate,0
Geodermatophilus obscurus,decanoate,0
Nakamurella multipartita,decanoate,0
Enhygromyxa salina,decanoate,0
Brevibacterium antiquum,decanoate,0
Rothia mucilaginosa,decanoate,0
Actinomycetospora chiangmaiensis,decanoate,0
Saccharothrix espanaensis,decanoate,0
Wenzhouxiangella sediminis,decanoate,0
Virgibacillus salinus,decanoate,1.3298256433028672
Clavibacter michiganensis,decanoate,0
Streptomyces ambofaciens,decanoate,0
Micromonospora avicenniae,decanoate,0
Kineosphaera limosa,decanoate,0
Sanguibacter keddieii,decanoate,0
Bacillus sp.,decanoate,0
Frankiales bacterium,decanoate,0
Streptococcus pneumoniae,decanoate,1.2416046125643165
Desulfobulbus elongatus,decanoate,0
Citricoccus muralis,decanoate,0
Streptomyces avermitilis,decanoate,0
Desulfobacter curvatus,decanoate,0
Agrococcus casei,decanoate,0
Cephaloticoccus capnophilus,decanoate,0
Chlamydiales bacterium,decanoate,0
Microlunatus phosphovorus,decanoate,0
Clostridium combesii,decanoate,0
Brevibacterium mcbrellneri,decanoate,0
Shewanella putrefaciens,decanoate,0
Anaerocolumna xylanovorans,decanoate,0
Pelobacter propionicus,decanoate,0
Bacteroides luti,decanoate,0
Nonomuraea candida,decanoate,0
Legionella brunensis,decanoate,0
Allokutzneria albata,decanoate,0
Kytococcus sedentarius,dimethyl,1.5077040476892491
Granulosicoccus antarcticus,dimethyl,1.6367258012962222
Mobilicoccus massiliensis,dimethyl,1.6960291800898708
Kocuria varians,dimethyl,1.642703263023132
Actinoplanes atraurantiacus,dimethyl,1.4217055923073967
Thermomonas haemolytica,dimethyl,0
Chromatocurvus halotolerans,dimethyl,0
Xanthomonas translucens,dimethyl,0
Dermabacter hominis,dimethyl,0
Luteimonas tolerans,dimethyl,0
Halobacteriovorax marinus,dimethyl,1.7907806815738243
Xanthomonas campestris,dimethyl,0
Arthrobacter globiformis,dimethyl,0
Brachybacterium paraconglomeratum,dimethyl,2.0059887332681017
Mycolicibacterium obuense,dimethyl,0
Okibacterium fritillariae,dimethyl,0
Arenimonas oryziterrae,dimethyl,0
Subtercola sp.,dimethyl,0
Plantibacter sp.,dimethyl,0
Kocuria flava,dimethyl,0
Cellulomonas cellasea,dimethyl,0
Pseudoxanthomonas sp.,dimethyl,0
Micromonospora peucetia,dimethyl,0
Intrasporangiaceae bacterium,dimethyl,0
Brachybacterium alimentarium,dimethyl,0
Humibacillus sp.,dimethyl,0
Agreia bicolorata,dimethyl,0
Nesterenkonia alba,dimethyl,0
Silanimonas lenta,dimethyl,0
Sandaracinus amylolyticus,dimethyl,0
Leifsonia sp.,dimethyl,0
Bacteriovorax sp.,dimethyl,0
Auraticoccus monumenti,dimethyl,0
Paenibacillus polysaccharolyticus,dimethyl,0
Sediminihabitans luteus,dimethyl,0
Psychromonas aquimarina,dimethyl,0
Isoptericola variabilis,dimethyl,0
Dermatophilus congolensis,dimethyl,0
Chloroflexi bacterium,dimethyl,1.9579795616030453
Geodermatophilus obscurus,dimethyl,0
Nakamurella multipartita,dimethyl,0
Enhygromyxa salina,dimethyl,0
Brevibacterium antiquum,dimethyl,1.8433899893566958
Rothia mucilaginosa,dimethyl,0
Actinomycetospora chiangmaiensis,dimethyl,0
Saccharothrix espanaensis,dimethyl,0
Wenzhouxiangella sediminis,dimethyl,0
Virgibacillus salinus,dimethyl,0
Clavibacter michiganensis,dimethyl,0
Streptomyces ambofaciens,dimethyl,0
Micromonospora avicenniae,dimethyl,0
Kineosphaera limosa,dimethyl,0
Sanguibacter keddieii,dimethyl,0
Bacillus sp.,dimethyl,0
Frankiales bacterium,dimethyl,0
Streptococcus pneumoniae,dimethyl,0
Desulfobulbus elongatus,dimethyl,0
Citricoccus muralis,dimethyl,0
Streptomyces avermitilis,dimethyl,0
Desulfobacter curvatus,dimethyl,0
Agrococcus casei,dimethyl,0
Cephaloticoccus capnophilus,dimethyl,0
Chlamydiales bacterium,dimethyl,0
Microlunatus phosphovorus,dimethyl,0
Clostridium combesii,dimethyl,0
Brevibacterium mcbrellneri,dimethyl,0
Shewanella putrefaciens,dimethyl,0
Anaerocolumna xylanovorans,dimethyl,0
Pelobacter propionicus,dimethyl,0
Bacteroides luti,dimethyl,0
Nonomuraea candida,dimethyl,0
Legionella brunensis,dimethyl,0
Allokutzneria albata,dimethyl,0
Kytococcus sedentarius,dodecanoate,1.8370551966188702
Granulosicoccus antarcticus,dodecanoate,1.8296179538514528
Mobilicoccus massiliensis,dodecanoate,1.7867431115207988
Kocuria varians,dodecanoate,1.876816593505429
Actinoplanes atraurantiacus,dodecanoate,0
Thermomonas haemolytica,dodecanoate,1.7996307021585285
