variable,intercept,minutes,cmpnd
Rothia mucilaginosa,-1.6416010346031475,-0.008152095184293415,dodecanoate
Subtercola sp. Z020,-1.6099791766618992,-0.009094344253898386,dodecanoate
Isoptericola variabilis,-2.1957049498803296,-0.010249107209848653,dodecanoate
Cellulomonas cellasea,-1.6958858317475516,-0.011333553071052348,dodecanoate
Kocuria flava,-1.8968520885334383,-0.01158981981635122,dodecanoate
Desulfobulbus elongatus,-2.4122295149631205,-0.011638260481621119,dodecanoate
Actinomycetospora chiangmaiensis,-1.997759723831706,-0.012185171218539367,dodecanoate
Plantibacter sp. VKM Ac-1784,-1.912212467230315,-0.013013350334444226,dodecanoate
Frankiales bacterium YIM 75000,-1.9641637785638684,-0.01324617804816084,dodecanoate
Okibacterium fritillariae,-1.4440516677545785,-0.013649329391374893,dodecanoate
Auraticoccus monumenti,-1.8781581586782037,-0.014143111656706852,dodecanoate
Nakamurella multipartita,-1.6169171300102356,-0.014557201214659274,dodecanoate
Silanimonas lenta,-1.4144143144872923,-0.01470721101678541,dodecanoate
Nonomuraea candida,-2.3505067317966293,-0.015240058334754359,dodecanoate
Clavibacter michiganensis,-2.1607547494544095,-0.015921352852743997,dodecanoate
Actinoplanes atraurantiacus,-2.1308830058713,-0.016363569248595115,dodecanoate
Paenibacillus polysaccharolyticus,-1.962429290226783,-0.01727769148030138,dodecanoate
Dermatophilus congolensis,-2.1269452485654887,-0.017883981097227934,dodecanoate
Intrasporangiaceae bacterium URHB0013,-2.2801010895973497,-0.01813868524042127,dodecanoate
Kineosphaera limosa,-1.8180292296593006,-0.018765288684719123,dodecanoate
Allokutzneria albata,-2.482640365836088,-0.01953096371640466,dodecanoate
Brevibacterium antiquum,-2.1775839741304375,-0.019591905198518455,dodecanoate
Saccharothrix espanaensis,-2.4647746150967573,-0.020831048668164702,dodecanoate
Brevibacterium mcbrellneri,-2.3154002711601605,-0.020902928365016848,dodecanoate
Bacteroides luti,-1.7235595150356158,-0.02090761617133331,dodecanoate
Nesterenkonia alba,-1.6596334629003964,-0.021740483093554565,dodecanoate
Sediminihabitans luteus,-1.2493566540853531,-0.021954559582005446,dodecanoate
Psychromonas aquimarina,-2.066915284346603,-0.022601476853674442,dodecanoate
Chloroflexi bacterium RBG 13 51 36,-2.0907814271709775,-0.024525040045521394,dodecanoate
Pelobacter propionicus DSM 2379,-1.748769495670708,-0.024689113266596816,dodecanoate
Sanguibacter keddieii,-2.140466965451584,-0.025378220795113884,dodecanoate
Streptomyces ambofaciens,-1.5921759300067897,-0.028215906218667063,dodecanoate
Microlunatus phosphovorus,-2.049606861691558,-0.028586242917666035,dodecanoate
Shewanella putrefaciens,-1.564012631392341,-0.02909408860194727,dodecanoate
Enhygromyxa salina,-1.8200397777016857,-0.02948786433252847,dodecanoate
Legionella brunensis,-1.7855271058652986,-0.030205098698944187,dodecanoate
Sandaracinus amylolyticus,-2.3552257901551803,-0.03092077046325438,dodecanoate
Streptomyces avermitilis,-2.099391364772178,-0.030927020871676248,dodecanoate
Agrococcus casei,-1.6898958570098754,-0.031377050278054736,dodecanoate
Virgibacillus salinus,-1.483038590286325,-0.0319739642823484,dodecanoate
Chlamydiales bacterium SCGC AG-110-P3,-1.649736982899017,-0.032663071810865495,dodecanoate
Citricoccus muralis,-2.151926047558443,-0.03582890367656958,dodecanoate
Clostridium combesii,-1.917082577125731,-0.03613204848503286,dodecanoate
Leifsonia sp. Leaf325,-1.6674725167962257,-0.0398119764434402,dodecanoate
Cephaloticoccus capnophilus,-1.7875480712550558,-0.04102455567729331,dodecanoate
Desulfobacter curvatus,-2.0859165259492465,-0.04153865176999653,dodecanoate
Bacillus sp. 7586-K,-1.2292615910088691,-0.04683431030547102,dodecanoate
