rep1,,,,,rep2,,,
org,max_slope,r2,intercept,,org,max_slope,r2,intercept
Streptomyces avermitilis,0.122310107,0.986258721,-1.995932992,,Agreia bicolorata,0.13269405,0.995564552,-1.335722525
Humibacillus sp. DSM 29435,0.121786555,0.988284505,-1.785431723,,Humibacillus sp. DSM 29435,0.112108186,0.994510266,-1.308014434
Dermatophilus congolensis,0.119792841,0.983490018,-1.638592848,,Kocuria flava,0.11115588,0.999404025,-0.873844389
Geodermatophilus obscurus,0.117975298,0.995374489,-2.082255746,,Sediminihabitans luteus,0.10996641,0.979589764,-1.004960991
Nesterenkonia alba,0.115491529,0.992871441,-1.37985907,,Nesterenkonia alba,0.101691199,0.999288663,-1.232793207
Enhygromyxa salina,0.111296912,0.992699313,-2.309367995,,Psychromonas aquimarina,0.092983011,0.989858247,-2.008858131
Bacillus sp. 7586-K,0.106748712,0.989315329,-1.22397342,,Nakamurella multipartita,0.090461772,0.988458577,-1.240150166
Citricoccus muralis,0.106061396,0.990003776,-2.49931676,,Bacillus sp. 7586-K,0.090216094,0.997013941,-1.481701426
Agreia bicolorata,0.10252432,0.981169786,-1.546400609,,Cellulomonas cellasea,0.088628917,0.99887734,-1.896079804
Subtercola sp. Z020,0.102413903,0.979957399,-1.883560442,,Actinomycetospora chiangmaiensis,0.085017938,0.943069277,-1.925836022
Mycolicibacterium obuense,0.096513401,0.982015221,-1.902460409,,Rothia mucilaginosa,0.083969551,0.99749307,-0.846133865
Rothia mucilaginosa,0.092404389,0.958319386,-0.440004417,,Citricoccus muralis,0.083813873,0.945499856,-2.133883867
Chlamydiales bacterium SCGC AG-110-P3,0.09113397,0.991220083,-0.71071661,,Wenzhouxiangella sediminis,0.082710755,0.995878457,-1.412044438
Clavibacter michiganensis,0.08651009,0.985411671,-1.448355013,,Brachybacterium paraconglomeratum,0.081802233,0.998282516,-1.765887534
Legionella brunensis,0.07910965,0.976399758,-2.013883867,,Microlunatus phosphovorus,0.077817873,0.989126117,-1.611825587
Halobacteriovorax marinus,0.078230034,0.984028786,-1.32584144,,Anaerocolumna xylanovorans,0.077127056,0.965527868,-1.246202113
Wenzhouxiangella sediminis,0.078118376,0.961336412,-1.355486623,,Halobacteriovorax marinus,0.076808404,0.997402781,-1.877892341
Brachybacterium paraconglomeratum,0.077942204,0.970871911,-2.75886564,,Pelobacter propionicus DSM 2379,0.076495834,0.951374429,-2.114661394
Kineosphaera limosa,0.075285986,0.956020163,-1.879375751,,Intrasporangiaceae bacterium URHB0013,0.076372995,0.998844784,-2.119161436
Brachybacterium alimentarium,0.074955975,0.976049474,-2.01288639,,Brachybacterium alimentarium,0.075347715,0.997955379,-2.069153817
Kocuria flava,0.070613722,0.915753045,-1.745811764,,Streptococcus pneumoniae,0.074459869,0.977338981,-1.703965752
Paenibacillus polysaccharolyticus,0.063726908,0.942383207,-1.592612108,,Sandaracinus amylolyticus,0.068394543,0.99579331,-1.771496774
Intrasporangiaceae bacterium URHB0013,0.049757259,0.960953861,-1.625121938,,Legionella brunensis,0.066093441,0.939719781,-1.848854913
Micromonospora avicenniae,0.046300826,0.946310638,-1.430340865,,Bacteriovorax sp. BAL6 X,0.064490454,0.997537377,-2.140816363
Actinomycetospora chiangmaiensis,0.045855435,0.906518028,-1.360713455,,Micromonospora avicenniae,0.063757069,0.997375472,-1.079538834
Chloroflexi bacterium RBG 13 51 36,0.04499939,0.940667321,-1.941223083,,Isoptericola variabilis,0.063253551,0.996653565,-1.058866619
Anaerocolumna xylanovorans,0.037205666,0.905259108,-0.957532764,,Brevibacterium antiquum,0.063186658,0.997608256,-1.599170741
Auraticoccus monumenti,0.036321087,0.948999819,-1.581673352,,Auraticoccus monumenti,0.060941502,0.999432059,-1.514646591
Isoptericola variabilis,0.03268476,0.939354312,-1.357316573,,Geodermatophilus obscurus,0.059092837,0.993493985,-1.643046142
,0.169906693,,,,Paenibacillus polysaccharolyticus,0.054905366,0.994876948,-1.922982752
,,,,,Enhygromyxa salina,0.04236363,0.969880031,-2.333748936
,,,,,Saccharothrix espanaensis,0.036511144,0.939124736,-1.901602692
,,,,,Shewanella putrefaciens,0.032957328,0.996206344,-1.734510085
,,,,,Clostridium combesii,0.032187456,0.996613984,-0.034620779
,,,,,Allokutzneria albata,0.031826237,0.945869466,-1.613319114
,,,,,Brevibacterium mcbrellneri,0.029834056,0.9696399,-1.796429435
,,,,,Kineosphaera limosa,0.024532521,0.965430665,-2.021038648
,,,,,Cephaloticoccus capnophilus,0.013506204,0.957415325,-2.00993206
,,,,,Chloroflexi bacterium RBG 13 51 36,0.012693765,0.933056383,-1.553657083
,,,,,Agrococcus casei,0.012630521,0.949885305,-1.207836222
,,,,,Bacteroides luti,0.010926586,0.933881683,-1.445082037
,,,,,,0.155314459,,
