variable,intercept,minutes,cmpnd
Clavibacter michiganensis,-1.883041435226163,0.01655103962641384,heptynoate
Brevibacterium antiquum,-2.686945974951897,0.014440668175818181,heptynoate
Kocuria flava,-2.055608097892832,0.009157417520394933,heptynoate
Pet28_1,-1.9730156115148567,0.005690030040657622,heptynoate
Wenzhouxiangella sediminis,-2.3798709289010826,0.003880675335135403,heptynoate
Geodermatophilus obscurus,-2.5644619901952774,0.003683794112681967,heptynoate
Citricoccus muralis,-2.7905933623096035,0.0018500326440457212,heptynoate
Rothia mucilaginosa,-1.3192994445427662,9.925416999718764e-5,heptynoate
Streptomyces avermitilis,-2.5975684084282156,-6.329487234245661e-4,heptynoate
Pet28_2,-1.8431390893972446,-0.005690030040657576,heptynoate
Enhygromyxa salina,-3.0799111322636548,-0.00694291054717933,heptynoate
Brachybacterium alimentarium,-2.806804876742474,-0.008791316073684028,heptynoate
Halobacteriovorax marinus,-2.300982846791308,-0.009355925860389226,heptynoate
Microlunatus phosphovorus,-2.3443780716081046,-0.01150860236704923,heptynoate
Brachybacterium paraconglomeratum,-2.6933080045369624,-0.013762160161247372,heptynoate
Intrasporangiaceae bacterium URHB0013,-2.635604992810191,-0.021303849963491564,heptynoate
Psychromonas aquimarina,-2.494327800455745,-0.024740322209951062,heptynoate
Legionella brunensis,-2.5564348769933214,-0.025062491483056604,heptynoate
Paenibacillus polysaccharolyticus,-2.478170523274238,-0.027078490116277918,heptynoate
Actinomycetospora chiangmaiensis,-2.089511803720827,-0.027739099837898424,heptynoate
Isoptericola variabilis,-2.201414100736219,-0.03102750438813265,heptynoate
Anaerocolumna xylanovorans,-1.9827891642107516,-0.031276453371896044,heptynoate
Auraticoccus monumenti,-2.38062482669505,-0.03282384215332738,heptynoate
Bacteriovorax sp. BAL6 X,-2.6531832859774496,-0.03583238248652037,heptynoate
Micromonospora avicenniae,-1.7540001667795646,-0.03977163405312946,heptynoate
Shewanella putrefaciens,-2.687786652348051,-0.043958207485961,heptynoate
Kineosphaera limosa,-2.3744363563143525,-0.04700742575767744,heptynoate
Streptococcus pneumoniae,-2.241668988699005,-0.052855286199806055,heptynoate
Chloroflexi bacterium RBG 13 51 36,-2.609354163149736,-0.05301962507144068,heptynoate
Saccharothrix espanaensis,-2.495586104687403,-0.05342803157421592,heptynoate
Pelobacter propionicus DSM 2379,-2.263087279262879,-0.053785997433222085,heptynoate
Allokutzneria albata,-2.2090452820032156,-0.059542739293058124,heptynoate
Clostridium combesii,-0.7872591272819641,-0.062427618693139876,heptynoate
Frankiales bacterium YIM 75000,-2.805400131932132,-0.06742775089644007,heptynoate
Brevibacterium mcbrellneri,-2.053346404510929,-0.06778408963790535,heptynoate
Cephaloticoccus capnophilus,-2.4253108980943243,-0.07674625305338778,heptynoate
Desulfobulbus elongatus,-2.832914689549381,-0.07685364281108963,heptynoate
Bacteroides luti,-2.2885733636790926,-0.07862231957808846,heptynoate
Agrococcus casei,-1.6049182339537564,-0.07921296324544869,heptynoate
Virgibacillus salinus,-2.2466805107250956,-0.08226218151716508,heptynoate
Streptomyces ambofaciens,-2.812716737141214,-0.09029688793431323,heptynoate
Nonomuraea candida,-2.271542866750618,-0.09737810347247221,heptynoate
Desulfobacter curvatus,-1.8441045124715325,-0.10732792723530364,heptynoate
