variable,intercept,minutes,cmpnd
Allokutzneria albata,-3.2504398971233313,7.068283669383886e-5,ClPh propionate
Chlamydiales bacterium SCGC AG-110-P3,-0.9360901004376567,-1.979119427427286e-4,ClPh propionate
Auraticoccus monumenti,-1.2863732960294754,-9.754231463746725e-4,ClPh propionate
Sediminihabitans luteus,-2.073670145719265,-0.002395362799068128,ClPh propionate
Thermomonas haemolytica,-3.604560908959338,-0.0041058874470584605,ClPh propionate
Anaerocolumna xylanovorans,-2.0827384918787955,-0.005109583728110651,ClPh propionate
Pelobacter propionicus DSM 2379,-0.8137197849407819,-0.005786568230666931,ClPh propionate
Nakamurella multipartita,-1.393716964021814,-0.008532203753795568,ClPh propionate
Desulfobulbus elongatus,-2.151473623739269,-0.010812903284449294,ClPh propionate
Actinomycetospora chiangmaiensis,-3.094665396581524,-0.010908717796412028,ClPh propionate
Virgibacillus salinus,-1.9923587046929734,-0.012997788303140254,ClPh propionate
Clostridium combesii,0.42998399492948486,-0.015152829457449446,ClPh propionate
Psychromonas aquimarina,-1.7692889078529763,-0.015526663127074515,ClPh propionate
Kineosphaera limosa,-1.5232236281419242,-0.016095267280033704,ClPh propionate
Agrococcus casei,-0.5506120879379994,-0.01666701289240142,ClPh propionate
Shewanella putrefaciens,-1.7406178549836924,-0.019269712012438066,ClPh propionate
Nonomuraea candida,-0.9174874249729801,-0.020188588889457695,ClPh propionate
Pet28_1,-1.5825553248392803,-0.020633105395776525,ClPh propionate
Bacillus sp. 7586-K,-2.0747487134495537,-0.0206676614492713,ClPh propionate
Microlunatus phosphovorus,-2.056219338704413,-0.02122841195370886,ClPh propionate
Desulfobacter curvatus,-1.5185480893887713,-0.021250402169569183,ClPh propionate
Saccharothrix espanaensis,-1.4785625468827963,-0.02336774581097499,ClPh propionate
Brevibacterium mcbrellneri,-1.8052847969100114,-0.02342272135062572,ClPh propionate
Kocuria flava,-1.0720576994081503,-0.02351225294377122,ClPh propionate
Chromatocurvus halotolerans,-2.7740375778070216,-0.024215939851300758,ClPh propionate
Bacteroides luti,-0.8680042035216291,-0.024479822441624364,ClPh propionate
Legionella brunensis,-1.5878277408800732,-0.02645422967993814,ClPh propionate
Chloroflexi bacterium RBG 13 51 36,-1.5025580609989269,-0.039310652309690816,ClPh propionate
Enhygromyxa salina,-2.371066872167065,-0.041936912375292144,ClPh propionate
Frankiales bacterium YIM 75000,-1.6339757795926086,-0.04270342847099397,ClPh propionate
Sandaracinus amylolyticus,-2.5327106660372958,-0.054130487069827225,ClPh propionate
Streptomyces ambofaciens,-1.153007872602452,-0.060952166175632386,ClPh propionate
Streptomyces avermitilis,-1.9821856119747439,-0.07411488109772488,ClPh propionate
